Height,Category 1,Category 2,Category 3,Category 4
0,1.05,1.0,0.91,0.8
10,1.05,1.0,0.91,0.8
15,1.09,1.05,0.97,0.8
20,1.12,1.07,1.01,0.8
30,1.15,1.12,1.06,0.97
50,1.2,1.17,1.12,1.1
100,1.26,1.24,1.2,1.2
150,1.3,1.28,1.24,1.24
200,1.32,1.3,1.27,1.27
250,1.34,1.32,1.29,1.28
300,1.35,1.34,1.31,1.3
350,1.35,1.35,1.32,1.31
400,1.35,1.35,1.34,1.32
450,1.35,1.35,1.35,1.33
500,1.35,1.35,1.35,1.34
